Absorption (K-edge) for mids: mp-19091; elements: Cr; smoothing fwhm: 0.0 eV.
Spectra (before any smoothing) are 3rd-order spline interpolations ranged over the intersection of E-axis ranges of site spectra.
mp-19091 Cr K-edge	
E (eV)	mu
6036.5599648241205	0.3827513160230163
6036.837160804021	0.38366231442336335
6037.11435678392	0.3845660758654384
6037.391552763819	0.3854740547328041
6037.668748743718	0.38641098869105994
6037.945944723619	0.38740933698118823
6038.223140703518	0.38850165432953354
6038.500336683417	0.38972193201523925
6038.777532663316	0.39110936691582576
6039.054728643217	0.39270433465477755
6039.331924623116	0.39454716189777406
6039.609120603015	0.3966747725786882
6039.886316582914	0.3991185299032275
6040.1635125628145	0.4019092836088607
6040.440708542714	0.40507723995559747
6040.717904522613	0.4086410021745103
6040.995100502512	0.4126091097600601
6041.2722964824125	0.4169897685440402
6041.549492462312	0.4217898987510271
6041.826688442211	0.42700517641727154
6042.103884422111	0.4326254647734431
6042.38108040201	0.43864057831241426
6042.65827638191	0.44503758991736725
