Absorption (K-edge) for mids: mvc-847; elements: Cr; smoothing fwhm: 0.0 eV.
Spectra (before any smoothing) are 3rd-order spline interpolations ranged over the intersection of E-axis ranges of site spectra.
mvc-847 Cr K-edge	
E (eV)	mu
6035.999417085427	0.4775831493086295
6036.274236180904	0.4771977490169713
6036.549055276382	0.4769412719814551
6036.823874371859	0.4768080811754606
6037.0986934673365	0.47679140998069874
6037.373512562814	0.47688429478935135
6037.648331658292	0.47707986507716554
6037.923150753769	0.47737167085662635
6038.197969849246	0.4777539622258267
6038.472788944723	0.4782219585944982
6038.747608040201	0.4787715371497729
6039.022427135678	0.4793982815101157
6039.297246231155	0.4800974483640829
6039.5720653266335	0.48086379674311786
6039.846884422111	0.4816917329662627
6040.121703517588	0.4825744005286489
6040.396522613065	0.48350490676658586
6040.671341708543	0.4844780852233723
6040.94616080402	0.4854892667286062
6041.220979899497	0.4865344588484292
6041.495798994974	0.48760988741009526
6041.770618090452	0.48871183182169153
6042.04543718593	0.4898371187752765
